source,target,relation,dataset
id-66cc051b-65d8-4c3b-ad3c-44d57db25e57,id-75605bf0-0ddb-4198-8fe4-5cda9e8594dc,AssociationRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-22749e8b-c7b5-4425-85e1-a9f853b84ee8,AssignmentRelationship,EA ModelSet
d5d6dc0f-aa71-4695-9717-1cc5eae50145,id-22749e8b-c7b5-4425-85e1-a9f853b84ee8,AssociationRelationship,EA ModelSet
id-7df69886-d887-4bcb-99ee-70b729be2dda,id-08b03c9d-ace3-4940-acd5-c90ebfaa4fa9,AssignmentRelationship,EA ModelSet
id-08b03c9d-ace3-4940-acd5-c90ebfaa4fa9,id-552fe270-f843-4af5-88d0-175b576831f9,AssociationRelationship,EA ModelSet
d5922ae2-af77-4e2e-ac57-45456b0efb13,d47e9290-6f16-4c69-ac0b-1b026eabbc10,CompositionRelationship,EA ModelSet
d5922ae2-af77-4e2e-ac57-45456b0efb13,d9012700-cec6-48c2-bc51-9696d0645205,CompositionRelationship,EA ModelSet
d9012700-cec6-48c2-bc51-9696d0645205,ea85b8c5-0657-4a4e-8fa3-354c5821e72c,CompositionRelationship,EA ModelSet
d9012700-cec6-48c2-bc51-9696d0645205,id-0b38761e-5709-4c46-85b0-8304040d9b22,CompositionRelationship,EA ModelSet
d47e9290-6f16-4c69-ac0b-1b026eabbc10,id-6e8909ee-ba17-412f-9ca3-edb3be4d405f,CompositionRelationship,EA ModelSet
d47e9290-6f16-4c69-ac0b-1b026eabbc10,id-1177de27-bc38-478c-a30a-a554cb5ec3d1,CompositionRelationship,EA ModelSet
d47e9290-6f16-4c69-ac0b-1b026eabbc10,id-5e6c9b7e-e1c4-43e0-8f44-5686f39d164e,CompositionRelationship,EA ModelSet
d47e9290-6f16-4c69-ac0b-1b026eabbc10,id-4529c601-cd5d-4fc4-8279-13836096dd6d,CompositionRelationship,EA ModelSet
id-4b308d31-c5b3-429e-a11a-5c22a8898278,id-311a68c6-f280-4ba5-b5e8-dbdb523daf15,CompositionRelationship,EA ModelSet
d5922ae2-af77-4e2e-ac57-45456b0efb13,id-1061c7d9-0638-4348-af9f-992b4ec57b55,CompositionRelationship,EA ModelSet
id-1061c7d9-0638-4348-af9f-992b4ec57b55,id-1a16ac39-6373-4102-8496-be2038eed1a5,CompositionRelationship,EA ModelSet
id-1061c7d9-0638-4348-af9f-992b4ec57b55,a0ab1e5a-6a78-4284-b655-3b84244a46ee,CompositionRelationship,EA ModelSet
d5922ae2-af77-4e2e-ac57-45456b0efb13,id-0d03c083-f8d2-4e4b-b09d-8dfb173bedd5,CompositionRelationship,EA ModelSet
d5922ae2-af77-4e2e-ac57-45456b0efb13,id-5e53a970-d93f-4519-aeb0-477dfd1d8748,CompositionRelationship,EA ModelSet
d47e9290-6f16-4c69-ac0b-1b026eabbc10,id-16211e6f-d44c-4554-b4d1-ee86d4ab5c8c,CompositionRelationship,EA ModelSet
id-1061c7d9-0638-4348-af9f-992b4ec57b55,d5177cd7-0ae3-465e-bc99-8286117aad42,CompositionRelationship,EA ModelSet
id-6e8909ee-ba17-412f-9ca3-edb3be4d405f,id-22749e8b-c7b5-4425-85e1-a9f853b84ee8,AccessRelationship,EA ModelSet
id-16211e6f-d44c-4554-b4d1-ee86d4ab5c8c,id-75605bf0-0ddb-4198-8fe4-5cda9e8594dc,TriggeringRelationship,EA ModelSet
id-5e6c9b7e-e1c4-43e0-8f44-5686f39d164e,d5d6dc0f-aa71-4695-9717-1cc5eae50145,TriggeringRelationship,EA ModelSet
id-4529c601-cd5d-4fc4-8279-13836096dd6d,id-552fe270-f843-4af5-88d0-175b576831f9,TriggeringRelationship,EA ModelSet
id-1177de27-bc38-478c-a30a-a554cb5ec3d1,id-08b03c9d-ace3-4940-acd5-c90ebfaa4fa9,AccessRelationship,EA ModelSet
